TimeEstimation,TimeReal,clear_description,counting,current_trial,current_type,english_first,user_id_concent,video_really_lasted,TimeOfDay,alone,knew
25,8,Completely clear,No,1942,prosp_hl,Yes,oYKohszNgjXHQxW,8252,,Yes,
28,16,Clear,No,2211,prosp_hl,Yes,KBlTTJ29Kvu9UNO,47063,,Yes,
45,48,Completely clear,No,2335,prosp_hl,Yes,cFZ6PGgvHYBnstk,54420,,Yes,
10,12,Clear,No,4174,prosp_hl,No,D9gwCFrEP0ejPCY,12002,,Yes,
2,1,Completely clear,No,2516,prosp_hl,Yes,YWalJVlCgYOQJel,1253,,Yes,
1,3,Completely clear,Yes,282,prosp_hl,Yes,A1MrvG7LLJTQvgj,4164,,Yes,
15,24,Clear,No,4156,prosp_hl,Yes,EyR9woC36EYGgmY,28297,,Yes,
20,24,Clear,No,765,prosp_hl,Yes,Q1CglkXUadepY5S,24255,,Yes,
3,1,Completely clear,No,2146,prosp_hl,Yes,0hZP4nLgZDjLADO,1252,,Yes,
15,8,Completely clear,No,3815,prosp_hl,Yes,jpG3qE1k4T6GqOZ,8014,,Yes,
5,4,Completely clear,No,859,prosp_hl,Yes,aFaK1ll464s6v4J,4251,,Yes,
3,3,Completely clear,No,3045,prosp_hl,Yes,s3cbwxLhFYJecDy,3004,,No,
3,2,Clear,No,3980,prosp_hl,Yes,sQmUfOKrz3EG92O,2001,,Yes,
2,1,Completely clear,No,2788,prosp_hl,Yes,W0IC3gE2Er1BApQ,1253,,Yes,
30,32,Clear,No,2263,prosp_hl,Yes,vjGajhcEw9raUI0,32417,,No,
47,48,Completely clear,No,3701,prosp_hl,Yes,8YmBbUfYu183fzi,72179,,Yes,
45,32,Somewhat unclear,No,2023,prosp_hl,Yes,kM8EKrHzYkPCA9o,32252,,No,
6,12,Completely clear,No,2402,prosp_hl,Yes,SSaMJK07yaoDW32,16381,,Yes,
2,1,Completely clear,No,1910,prosp_hl,Yes,e2VDICWItLBL5ah,1255,,No,
5,6,Completely clear,No,4162,prosp_hl,Yes,13NBVqP6VE9KVMF,6060,,Yes,
3,3,Completely clear,Yes,3568,prosp_hl,No,gCgyO5kuO4JVqvI,3001,,Yes,
5,6,Completely clear,No,199,prosp_hl,Yes,5kgUgKObpPzcdYW,6252,,No,
90,64,Completely clear,No,776,prosp_hl,Yes,afPnGWSkhZNVlHO,64016,,Yes,
35,24,Clear,No,1514,prosp_hl,Yes,DkMlZLVHB9wMUDQ,24251,,No,
1.5,1,Clear,No,2439,prosp_hl,Yes,H7XxYyfCJ63rKdn,1163,,Yes,
10,12,Completely clear,No,1050,prosp_hl,Yes,9pC7SE0Yej54tf6,12253,,No,
1,1,Clear,No,2450,prosp_hl,Yes,aJoIg8axgTenOWe,1001,,No,
6,4,Clear,No,192,prosp_hl,Yes,TlwLDGkra2tdcU3,4113,,Yes,
25,24,Somewhat unclear,No,2348,prosp_hl,Yes,GBVECTLCkMY5q61,24163,,No,
10,24,Clear,No,2049,prosp_hl,Yes,jjtgMyjRPoSTdfB,24252,,Yes,
3,4,Completely clear,Yes,1045,prosp_hl,Yes,Tb1Lx7v1CKFc63O,4252,,Yes,
2,1,Clear,No,2586,prosp_hl,Yes,IHuiF0g8awjc7QT,1251,,Yes,
3,4,Completely clear,No,2489,prosp_hl,Yes,74qBs3qqN4KTMib,4005,,Yes,
10,6,Clear,No,2086,prosp_hl,Yes,pu9J3kkmD3JDDtK,6255,,No,
3,2,Completely clear,No,2425,prosp_hl,Yes,i9O4hXV5v70i21c,2252,,Yes,
4,6,Somewhat unclear,No,999,prosp_hl,No,xEs5Ml6DQ6sLHA9,6002,,Yes,
10,12,Completely clear,No,930,prosp_hl,Yes,xGRqAorarnUD28I,12252,,Yes,
20,16,Completely clear,No,2172,prosp_hl,No,X1kDsBLm5tesDqf,17469,,Yes,
6,16,Completely clear,No,3717,prosp_hl,Yes,HNGEOFfecAKVCcD,16020,,No,
5,6,Completely clear,No,3676,prosp_hl,Yes,SAckaLxwU9xQTYs,6003,,No,
15,6,Completely clear,No,2381,prosp_hl,Yes,tlEyufRdbIFphsX,6435,,No,
20,48,Somewhat unclear,No,3746,prosp_hl,Yes,4gF8rguP2tw1ILS,50680,,Yes,
2,3,Completely clear,Yes,801,prosp_hl,Yes,PIdn7s7Hw9tDfcP,4034,,No,
18,8,Completely clear,No,2590,prosp_hl,Yes,CZwctjQXUf0Za4q,8253,,Yes,
65,1,Completely clear,No,2154,prosp_hl,No,A1OslPycpXcbbST,158628,,No,
3,3,Clear,No,2863,prosp_hl,Yes,qphYvh5HTl3kXbo,3251,,Yes,
